doc_id,posting_entries_size,doc_size_bytes
1042,568,10093
1043,1316,34288
1044,556,10659
1045,2076,22833
1046,884,12747
1047,1524,19003
1048,788,14568
1049,584,12113
1050,756,20954
1051,2280,41362
1052,2992,45435
1053,516,12097
1054,1304,30405
1055,844,11878
1056,1968,25933
1057,1960,25578
1058,652,14382
1059,488,13248
1060,2180,47801
1061,1008,18031
1062,692,11936
1063,576,20682
1064,416,9957
1065,1180,33407
1066,3248,65468
1067,1896,29459
1068,704,10923
1069,2140,45545
1070,500,9951
1071,556,14234
1072,604,22514
1073,1320,16307
1074,1212,18728
1075,692,20233
1076,1564,30986
1077,736,11448
1078,844,16193
1079,1636,25328
1080,504,11000
1081,1152,31931
1082,824,18235
1083,1316,27037
1084,2780,32134
1085,552,14868
1086,500,11927
1087,1520,17057
1088,568,11294
1089,588,13690
1090,544,12131
1091,576,12396
1092,856,25677
1093,1148,20825
1094,2380,20401
1095,440,10589
1096,496,9399
1097,1580,22166
1098,496,10148
1099,460,12068
1100,804,14152
1101,476,11170
1102,560,13880
1103,616,12293
1104,1192,37548
1105,1120,18058
1106,936,13441
1107,1940,19374
1108,788,14180
1109,720,12622
1110,1168,20178
1111,692,21611
1112,824,26677
1113,560,17607
1114,1132,20649
1115,388,8760
1116,520,9921
1117,752,16501
1118,536,12217
1119,636,19113
1120,956,12157
1121,1116,16628
1122,592,10350
1123,1076,17614
1124,4640,69339
1125,508,10463
1126,1412,19422
1127,1136,30170
1128,388,9011
1129,3228,78062
1130,364,9477
1131,812,15280
1132,1096,42787
1133,972,28545
1134,720,13109
1135,1388,25691
1136,748,17536
1137,516,10596
1138,508,12953
1139,1440,17367
1140,1500,22445
1141,2292,33429
1142,896,19937
1143,860,18672
1144,496,10268
1145,572,14873
1146,596,9302
1147,992,17002
1148,472,10592
1149,1396,17873
1150,1328,20920
1151,1024,19621
1152,592,13097
1153,1372,17868
1154,596,14386
1155,628,10155
1156,2108,47727
1157,620,16180
1158,1856,23479
1159,464,10058
1160,368,10339
1161,488,11363
1162,716,16607
1163,1636,31169
1164,712,14280
1165,476,11192
1166,808,20455
1167,1720,25007
1168,624,14464
1169,504,14514
1170,3408,57434
1171,1284,21364
1172,816,22392
1173,1092,23775
1174,5476,104559
1175,396,9819
1176,992,16372
1177,1204,31024
1178,2440,35938
1179,1248,15469
1180,1084,23283
1181,880,13273
1182,1828,19804
1183,3024,43511
1184,1076,13539
1185,2416,44457
1186,440,9221
1187,856,19084
1188,676,14889
1189,2192,50785
1190,804,20305
1191,588,16570
1192,392,9562
1193,992,15677
1194,392,9576
1195,696,13435
1196,772,13087
1197,672,19366
1198,1016,12970
1199,2076,29564
1200,516,17365
1201,1860,79915
1202,568,11786
1203,1404,92767
1204,624,18846
1205,2152,24922
1206,2340,28356
1207,564,10198
1208,2488,95001
1209,2124,31153
1210,1040,15824
1211,436,9469
1212,1236,34280
1213,1072,19082
1214,644,11391
1215,460,9437
1216,1184,26665
1217,1012,15001
1218,1224,27402
1219,1204,28620
1220,1208,16221
1221,432,9473
1222,700,11600
1223,2964,48695
1224,1004,18061
1225,5020,100831
1226,744,16389
1227,628,17555
1228,1220,30134
1229,544,12764
1230,1536,20553
1231,696,11478
1232,728,12944
1233,1008,17999
1234,2784,30027
1235,1108,16043
1236,568,12426
1237,644,12089
1238,1376,18057
1239,4200,47203
1240,1196,31093
1241,2120,39680
1242,2424,35720
1243,1596,22957
1244,664,15272
1245,968,13220
1246,564,10447
1247,3384,42797
1248,1664,28570
1249,1340,19110
1250,1144,24785
1251,524,10132
1252,440,10934
1253,1072,17072
1254,576,13519
1255,612,19850
1256,2824,65993
1257,964,21970
1258,540,12600
1259,1172,32112
1260,756,13607
1261,704,11822
1262,860,17776
1263,744,13973
1264,1028,26784
1265,636,12298
1266,1328,19232
1267,616,11435
1268,1684,17553
1269,1224,21056
1270,528,12829
1271,6264,71767
1272,932,18364
1273,656,15334
1274,5348,86736
1275,984,19162
1276,520,10579
1277,564,14264
1278,708,20331
1279,720,12975
1280,496,11249
1281,472,11354
1282,648,18602
1283,696,12865
1284,1040,19389
1285,1520,17354
1286,3496,40670
1287,408,9214
1288,1004,27585
1289,2680,49113
1290,1540,34990
1291,572,11638
1292,880,13685
1293,1584,26439
1294,1252,26916
1295,1296,20044
1296,712,13540
1297,640,11612
1298,1568,18898
1299,848,16023
1300,748,22647
1301,744,12512
1302,884,17167
1303,1228,20200
1304,1052,16438
1305,928,15469
1306,488,11959
1307,592,10573
1308,724,12686
1309,1032,21963
1310,444,9619
1311,1800,21297
1312,852,11334
1313,2000,18188
1314,1044,19198
1315,3116,38384
1316,3156,49704
1317,952,19854
1318,4784,38682
1319,1484,59117
1320,916,12759
1321,1128,25069
1322,1720,28073
1323,756,13054
1324,2380,39966
1325,688,14382
1326,804,14484
1327,928,14222
1328,1340,17757
1329,580,10387
1330,464,10004
1331,1740,31569
1332,2032,31187
1333,1252,21557
